,Financial Services_PC1,Financial Services_PC2,Financial Services_PC3,Financial Services_PC4,Financial Services_PC5,Financial Services_PC6,Financial Services_PC7,Financial Services_PC8,Financial Services_PC9,Financial Services_PC10,Financial Services_PC11,Financial Services_PC12,Financial Services_PC13,Financial Services_PC14,Financial Services_PC15,Financial Services_PC16,Financial Services_PC17
2021-05-14,1.4382302596876304,-0.7841485872969578,1.5416660489314715,-0.23987637789344896,-1.0977324348018815,0.4434814510628418,-2.4024685658355023,-0.6905054993086327,0.6843821187593855,0.18493534528051742,-0.22154686729018958,0.6696942016140551,0.17740822228851252,-0.10017718458353934,0.8644703053019424,0.590381039437957,-0.3986672411402775
2021-05-17,0.7514073715132428,-0.834824511515234,0.7138110924267943,-0.45565923988512586,-1.4565727929803218,0.4049331323286682,-1.925526867242448,-0.7137092054515478,0.5690774841980519,0.2553783614954354,0.02555452767353734,0.5843135443353481,-0.39872414438056314,0.2564151323264491,1.0211953072968416,0.5517989012632871,-0.4711547600003764
2021-05-18,1.5744612695286124,-0.661809205376133,0.7916217329480774,-0.9020140835750871,-1.3690433202785142,0.16929523557148535,-1.5884754131873244,-0.5070966374279571,1.0046860944342981,0.40446100822855907,0.09039944489356248,0.6332172604988806,-0.02790333908549034,0.23360714234057287,0.8791480444897496,1.0215842016929462,-0.3441936875933692
2021-05-19,1.4487461917021764,-0.8785566049262419,0.9787606297718375,-0.7452827160361992,-1.1017024161609774,0.20055339232485295,-1.6606900074247484,-0.7842750397893307,0.8858262235873081,0.3946222136906297,0.28783236939525053,0.5827596789615249,-0.1396078877906656,0.21353889317293132,0.7298824425565004,1.0122554780917377,-0.056679663944568894
2021-05-20,2.8739950656904525,-0.9234002752827334,0.7291175472645386,-0.9133190412622166,-0.7097080605477507,0.5110404582598533,-1.342230523425236,-0.4825565343119455,0.903931243010376,0.31699094405147726,0.2589624147738482,0.7536267113220625,0.03453022778615759,-0.0023585145981118417,0.43301231838347404,1.0908861242273742,-0.046133806373042895
2021-05-21,3.2820986861321875,-1.2716053005590908,0.02158029820923181,-0.5519326842228699,-1.2470858221658634,0.24397525534217263,-1.1874012923565471,-0.6632351414789247,0.9319926788394968,0.3321969344098303,0.05671520162714931,0.5590742979470678,0.0773293155433084,0.4058119981533341,0.6733075349195279,0.6897325295304387,-0.13205370773139943
2021-05-24,2.946204067141006,-1.6330591072714544,-0.08364637749037067,-0.6513672591761998,-1.1309567822130793,0.23487678493632824,-1.2292074552442673,-0.41292369440088683,0.8745450799520991,0.6339946898711987,-0.20508452080317668,0.6517198486686975,0.27494228270869214,0.41352640618327724,0.5240721666552604,0.6619621141610704,-0.30576724806490563
2021-05-25,2.1951926525902077,-1.9748186758407742,-0.40148887739333433,-0.7830832143310887,-1.3720998101611332,0.24213663205453947,-1.4936316804924477,-0.634767584565007,0.7674623782104729,0.4375783740026794,0.025190502491847917,0.05593542000731825,0.8411429435647362,0.5706284644272916,0.20030274111648264,0.23342567592299876,0.13168759535650124
2021-05-26,1.5595661670325918,-1.5935915118747004,-0.7593997898804481,-1.238491881079193,-1.5350977037305897,0.1393432349731575,-1.1856552239907059,-0.2475718667847121,0.33875242601686634,0.054830834909109484,-0.022150252591443848,-0.17676409042631464,0.7236671844634351,0.6561962601596668,-0.07517042091703154,0.5526674900825347,0.5615204092756961
2021-05-27,1.5269973069157103,-1.681132156032324,-0.02600738661850578,-0.7247183455831497,-1.1974147863720552,0.5050606162905013,-1.3640914075669135,-0.2647912207946493,0.10635939610035261,0.29110426283631374,-0.012843620325336516,-0.19283497305072544,0.8849182783739277,0.7927883332429897,0.01642495357591515,0.4349866990241173,0.42273614382246516
