,Real Estate_PC1,Real Estate_PC2,Real Estate_PC3,Real Estate_PC4,Real Estate_PC5,Real Estate_PC6
2021-05-14,-1.5141483084336558,0.6180528518078505,0.013722328414908698,-0.325145368437126,0.34878156658978443,-0.19705622443224613
2021-05-17,-2.1688942984025945,0.37513998563451023,-0.6357844657439382,-0.8209724424349435,0.5787027457876193,0.16128333101823547
2021-05-18,-1.9371234189089799,0.23809953632545638,-0.5270344630138174,-0.9959871091007083,0.571639116667537,-0.30663948147632025
2021-05-19,-1.2468873973837626,-0.17349540285353698,-0.4419518840671476,-1.108387339284433,0.19705834663057079,-0.45613982049913315
2021-05-20,-0.37345606823511174,-0.24481659615187412,-0.6395330311892676,-1.2398644391569853,0.23508843722096048,-0.6892965797493228
2021-05-21,-0.2555161836936403,-0.3809595949576644,-0.6841059916533898,-1.6877647785428929,0.19639244394440283,-0.709706130080166
2021-05-24,-0.1506031426088168,-0.1724934563700412,-0.6282728918552608,-1.2453545260247074,0.13992104618313386,-0.6571231998033581
2021-05-25,-0.011620350081738671,0.4220806744416139,-0.8721522388833877,-1.461632439730321,0.12889512881369883,-0.5848093781788956
2021-05-26,0.0010189929685746563,-0.2701946352516541,-0.539328131535596,-0.8752599842999021,0.3596754125827688,-0.815087855385217
2021-05-27,-0.23707377227089646,-0.31470680808480245,0.00840559249374478,-0.8629578041975129,0.40006343992996074,-0.5730156391278318
2021-05-28,-0.15095792311324302,-0.054089648963347545,0.12217090306010336,-1.026910230650894,0.6159135348178074,-0.45494038760684186
2021-05-31,0.3005966385495582,0.23277639169512004,-0.05519350801444302,-1.1016246359111819,0.12772017867241373,-0.7506556064665538
2021-06-01,0.40248571345895795,0.19626093541347595,-0.1836293977161492,-0.9188700681437376,0.03349081849830156,-0.8106192307699636
2021-06-02,0.7469878713563853,0.1075399212868165,0.038841553535732286,-0.807488096871188,0.4349236842894996,-0.5508198022822317
2021-06-03,1.7847284450438006,-0.20908830161061584,0.16620731069338385,-1.0969928072339232,0.1262375046349236,-0.7797844109791108
2021-06-04,1.9865568004533416,0.17071147364184303,0.23936780893015805,-1.3490093237119873,0.1735966725298651,-0.5456329026863678
2021-06-07,1.8000222830647388,-0.07852866566265446,0.5259301284790425,-1.1521963870236096,0.2853728493877507,-0.6975841660253399
2021-06-08,2.014618083051741,-0.014815543869931926,0.5521123022463589,-1.01264715696088,0.1053801317160937,-0.6452777266174256
2021-06-09,1.5278112153552137,-0.05851766573642112,0.12905455592227147,-1.0282080440672436,-0.14504805721340888,-0.3451550765817302
2021-06-10,2.07795245985136,-0.4032186374092679,0.23358959706426657,-0.8998895962171507,0.053066014184700375,-0.6565764889398095
2021-06-11,1.855039436156745,-0.16627134902418542,0.00470730830825606,-0.7086632360878617,0.05252191809392785,-0.49939520864378656
2021-06-14,2.1684062791442784,-0.33059261177367244,0.01700613146758561,-0.8717145969160415,0.01194111629939276,-0.7888445861810722
2021-06-15,2.292612482148816,-0.10304940292124587,0.2738732362004661,-0.8659743628332378,-0.0775542451083337,-0.8818656054831902
2021-06-16,1.8040092902471172,0.03940687865443479,0.3003742133622177,-0.7056425237678949,0.06424347763184672,-0.6658654407196648
2021-06-17,0.9897021883095851,0.5315820433225572,0.13402422777903827,-0.4128293126039471,0.03939378803278324,-0.27619210929000426
2021-06-18,0.7882980884985389,0.7194050408706879,0.14924375494681105,-0.026576899189265524,0.04953454001895541,-0.07275115980296827
2021-06-21,1.0733111492049654,0.7643114026931463,0.35731923101874763,0.1471500482481141,0.254531728941168,0.07796316577239507
2021-06-22,0.6473097523603588,0.6760065893838902,0.3690332966131863,-0.3810934309765673,-0.19718077148928995,0.15416323485256145
2021-06-23,0.4211350493573427,-0.03407522993301741,0.5042422703201446,-0.5689856882333895,0.027525008473770544,0.19851405637378458
2021-06-24,-0.4568009925234605,-0.2063630523292511,0.48033747971262764,-0.4070704994761603,0.19046811307254385,0.5131513755585347
2021-06-25,-0.1859776608443795,0.21753992598991814,0.0376067225334927,-0.5323093902556602,0.09160182826112491,0.4529847379016431
2021-06-28,-0.0419378149127528,0.24305445593729738,0.06886827246839697,-0.49178033968839896,-0.10103546793287618,0.41891370021456037
2021-06-29,-0.38518286276600744,0.16077986911454087,0.2611022517565893,-0.2963777331486067,0.04428589954829337,0.6846173641551428
2021-06-30,-0.42807939392675254,-0.1286840507995227,0.23542367584539,-0.6040553539720028,-0.07293787302821514,0.6941610477119721
2021-07-01,-0.7345440922056337,-0.2720968707049057,0.21018625203114757,-0.6946984880559169,-0.23272832770790228,0.5285336114750899
2021-07-02,-1.6926480328897164,-0.12427916966288126,0.11703148225645128,-0.2962217405372722,0.33708391741657234,0.6044447343481263
2021-07-05,-1.1957182691730546,-0.1010656174139796,-0.02961315491888821,-0.12680671363545123,0.4825540201746022,0.5098402355906763
2021-07-06,-1.0366153668951243,-0.026498481852315774,0.016594471355979912,-0.06184205977335515,0.18725364128022168,0.43465806201998675
2021-07-07,-0.8367908862504306,-0.07781183351942832,0.03588369490119839,0.19954660174376845,0.20878715712943946,0.31654329017181665
2021-07-08,-0.2737436149445474,-0.033367999579472445,0.23247952613165096,0.36946839011717214,-0.33497007103905074,0.04335976405045414
2021-07-09,-0.3827578456763558,0.21303150834749227,0.513003599928812,0.38957503256065407,-0.25027583989931507,0.18036165049025563
2021-07-12,0.5560601316292066,-0.03389951608483583,0.715989248610335,0.29668206353380977,-0.19828534201644313,0.04987479627439872
2021-07-13,1.0834993120920182,0.15275154665075558,0.8453821808370064,0.2549961325888547,-0.09965269344956879,-0.06231261261562266
