,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57
2021-05-14,2.105632416282309,-5.2353463792377575,0.832354940110533,-0.046074780114909515,0.19385907245770534,0.42679976701118494,2.45221957781379,-0.07577436548872052,1.1282768111563806,-0.5331681483039996,-1.4233462789793052,0.4115180838592278,-1.036416168984526,-1.5549617560813718,-0.9427500543279866,-0.3593639174947096,0.7359191378494748,3.914934160604384,2.4663606671082694,-1.4117453857304458,0.41971571094493443,0.09307200674398504,-0.19746621519126398,-0.04814096170706927,0.12520457134951454,0.9885358449697613,0.8671660100227571,-2.6273204603326255,-1.0132291094613295,-0.692698762051927,0.49473250912135497,0.05955168922847668,-3.6372849416252473,1.4986929132108042,0.13161066342184158,0.09239362612369265,-2.4036272974643684,0.3223024359799365,1.4833217251792994,0.8410045603001425,0.03025918381397334,0.7822034180371427,-0.002352108728586905,0.5463804395745347,0.6904283050575076,-0.46932151259797794,-1.7698164723461172,-0.1802073810445171,-0.2040424940328555,-0.6834213869591411,-1.4385960725388958,0.1349014917468997,0.19243128175462101,-1.341850428630228,-0.5763882985861742,0.3724573652683265,0.18937571783846877
2021-05-17,1.6077883708319063,-4.13968256872555,1.5098984455263882,-0.3552293126456048,0.26858779095676955,0.02093501960954618,2.37648993674298,-0.32331437335370594,0.9158899399059243,-0.9352168529264168,-1.630913398611662,0.6306390121561244,-1.697112402087507,-0.9313224380839755,-1.7410693346301982,-0.13039084432299095,0.9064076858608141,3.359660640656377,2.1760557284726687,-1.8756670653737895,0.8282489048267658,-0.01673423232343526,-0.21569596988947862,-0.17485710369114713,-0.030908863405007033,0.4858209853139784,0.6011285594770627,-2.0803712092818527,-1.0346549238698597,-0.6100914447407577,0.24711774414617269,0.337634016834595,-3.052247780403425,1.7214406445569557,0.06880191549386648,0.12299704752919377,-2.0967461072574793,0.43837050739445227,1.4827292289858556,0.7604371808897373,0.1397378037670859,0.7844151481236455,-0.26004556008054064,0.5164030263149728,0.5389149128020687,-1.0337848150913127,-1.9038477959673303,0.011553571382021779,0.09576101515052396,-0.25246920769840847,-1.7222525611623847,0.49238362235771554,0.3957428376507765,-1.015259165447953,-0.6601875705869235,-0.0445151574917392,0.6095234327324203
2021-05-18,3.082459558275979,-4.101778119124282,0.512852194493905,-0.27925835397075477,0.07866001031471936,0.4958293076274936,1.7824629211324865,-0.8609613617711999,0.676765143713821,-0.43598274005291565,-1.3220386012488252,0.45340283997429465,-1.352584361213564,-0.8284783070621644,-1.5240930727917232,-0.4193866552039767,0.7077682022978958,3.385774984320454,2.6216578752924167,-2.194950281055908,1.3697907836798122,0.1864621537303226,0.3627641170869106,-0.21522110303605485,-0.2564528657148902,-0.07684657063711231,0.581367363128665,-1.4964861216530667,-0.4264703364837632,-0.3074278877185732,0.4103822450672585,0.33340318472844693,-2.689753242656778,1.9845877563852665,0.14694734964974077,0.36245432207696726,-1.9949111289925667,0.5540700358749208,1.5383289207512643,0.5520454642528239,-0.02614237514181719,0.8576127227821272,-0.6022088940043805,-0.032774111764836154,0.3916739586124639,-0.8511921764646418,-1.4998361826123219,-0.30505282026962144,-0.02168085682426709,-0.20345044014916652,-2.07632404817147,0.17955505542630515,-0.15816280964149096,-0.4388239980120785,-0.7032229460375066,-0.08086412783680044,0.021213496168719103
2021-05-19,2.450281570341383,-4.397453529398028,0.4346292651373214,-0.07338738064898366,-0.19493483458089209,0.37467238238916095,1.6507644387925458,-0.5609012262475809,0.5221712218971454,0.30549876257393593,-1.3844788003395914,0.44719486079381865,-1.533012691602037,-0.9439907869774562,-1.4819849224622412,-0.5300058240378148,0.49532398636110825,3.19006219507146,2.951970652711079,-2.0760638306035437,1.0211906061257428,0.15219202487702305,0.3088454684103236,-0.03990783470814817,-0.19814633231457657,0.1157783042706478,0.5780965684912566,-1.2938476165323536,-0.41380928206809253,-0.23967158141875305,0.4953164305039612,-0.03127286098673713,-2.5494450818286953,2.092442824946535,0.41641516300493175,-0.21202412168159473,-1.929329619305382,0.33104030885390046,1.5475464019944392,0.5333028454108596,-0.357966852278757,0.4839586305051526,-0.45968398567388385,-0.18358387656597278,0.6914376192687356,-1.0541497824501838,-1.4398319875270036,-0.03351530975483365,0.15123196284171053,-0.35098616957371864,-2.0979642663932827,0.41972961430591643,-0.044651696817482975,-0.8833345470841896,-0.5816155339880564,-0.255789763335746,-0.03701515653832236
2021-05-20,4.377489173650034,-4.525725232654441,-0.2235261095197449,0.0931390436217889,-0.9305165781607221,0.7625756128118137,1.4703291997321268,-1.2330686695037998,0.008630979220442878,0.7198929602935895,-1.6360666795459509,0.31441028354259887,-1.3536938980077846,-0.6154324283130955,-1.2343356689333655,-0.4426969689857366,0.3596254746460372,3.0504065404276446,2.8923143507236055,-1.9788642378687744,0.9871648108561671,0.49507905450199696,0.38458235399510854,0.49970757765596324,-0.28858514132962293,0.06143050161528698,0.8963179616834204,-0.9995423209566189,-0.19024320086643493,0.11864746154281765,0.6153685306227189,-0.2797885068859885,-2.1109003998529934,2.416989250771303,0.485147910828822,0.06461024617494696,-1.7103140550832547,0.1610425657639944,1.6541622595901724,0.038150601943453884,-0.05120372308196115,0.41271344626929235,-0.5194766947676788,-0.44398890661800555,0.6139179944231756,-1.4442385929825474,-1.2349520841019592,-0.12131450053801396,0.3069269245437813,-0.4426319739086847,-1.5343564330737174,0.4610288071877367,0.5083806238561881,-0.8557065107410615,-0.1242009902082783,-0.36689388470295664,0.0018761369244582138
2021-05-21,4.896591130580862,-4.324491537385122,-0.11529533098395138,0.13921087457455497,-0.8243195503581429,0.8275833891387813,0.8026648045444985,-1.6771492183479118,0.04246787069886568,1.0386993478230566,-1.628013672466352,0.9191432593595834,-2.08069597185689,-0.9371184813110416,-1.506008125646063,-0.7661729405617067,0.5058914582836657,2.6543089914305327,2.475431627305853,-2.25856053652387,0.6932809299540881,0.5162809682490423,0.4532044597832103,0.42523245904910584,-0.15662272557860374,0.04911510485327425,0.8832737716597924,-1.05332299462049,-0.2150168595931227,-0.04118499797130846,0.44143494388321014,0.40068126390020253,-2.143176280450173,2.192075758064652,0.3376438705422381,0.4891941964452711,-0.9930942048828689,-0.41722262343131405,1.6703307736078337,0.1378604711026981,0.05728716155054589,0.23316459191818292,-0.6299505089512845,-0.024436471896080936,0.4997650234256783,-1.6839305693927094,-1.1234316211964428,-0.26757445622943726,0.6192397588556674,-0.3452742088699674,-1.4317345299969728,0.42261841247070303,0.7267108520745166,-0.9770693997310763,-0.13540383711959564,-0.6536236646291357,0.42413067064524446
2021-05-24,5.026321502443743,-4.365076867867677,0.38302963051443384,0.36343786602289435,-1.6103634810485055,0.5432458122648627,0.7884909730326888,-1.4230335818169548,-0.43510620341233064,0.8047259503593356,-1.113550528480881,1.2966823990086527,-2.386709777172552,-0.9679880667893528,-1.5871978269128586,-0.9360569274519487,0.8864890820217927,2.545323277608381,2.5385630885610335,-2.308754341965223,0.3054595874280076,0.31729453657298345,0.0550011604605107,0.4887816107523367,-0.199925497160356,0.054531767359688406,0.9758971663604914,-1.0035125714444346,-0.528664320644562,-0.42312694650892174,0.4327332703372625,0.06871077257079423,-1.9331723343198006,2.08007056919861,-0.02095150673231919,0.6694485763071366,-0.7404319187523928,-0.4914619140927106,1.336465882548682,0.36508088895615876,0.03664273333123113,0.18095310637031758,-0.6836718237633298,-0.04814221916238852,0.5091660375508972,-1.4484866944738706,-0.6312658659369409,-0.8860642204938354,0.8101982349260947,-0.5900498948031159,-1.3744801449228632,0.5506395978606075,0.7397357935202066,-1.0025248974813927,-0.11886683762599451,-0.33841555313590543,0.5270807927946091
2021-05-25,5.142043612596372,-3.7473599831249316,0.6885182613631631,0.5665690933588499,-1.7136521573248367,0.3608678836807665,0.40922643138942866,-1.0993058495333738,-0.26344444960837415,0.45148901864498864,-0.4045826890747089,1.2552451969233263,-3.248482008961246,-1.1447687001761655,-1.8223624281550066,-0.944951689863263,0.6067131135564946,2.405805632303695,2.4008575120059956,-2.646429974650546,0.25509155275007306,-0.040389693081261877,0.30181046473780665,0.5165166675919157,-0.4111461535641621,-0.01706598027818146,1.4147484113103121,-0.9034944617655358,-0.6703764195792513,-0.3798673628609439,0.9300176397609708,0.04630777196252694,-1.7339287862506172,2.642134360689453,-0.6198104356322126,0.3815221967439164,-0.18638162621031945,-0.2859777062932626,0.9225412860796829,0.5014867589409624,-0.08917109094948894,0.43103291439866814,-0.5308292399174523,0.28051722835606757,0.5237249532721469,-0.951176379815293,-0.410467540408003,-0.9808771747755887,0.5864225277284185,-0.061115456458258124,-1.4472961631427606,0.7464131484024965,1.213664650388749,-0.7840258478521921,-0.41769909179604703,-0.3972847262170961,0.4906139623882073
2021-05-26,4.341789881562745,-2.718953635170004,1.3357739100020567,1.0430451801042606,-2.2477282685514237,0.5043484488228074,0.2873310248448211,-0.8300938010880714,-0.2848516585330955,0.2545332949845356,-0.17095277709806003,0.5842515479167857,-3.5904666457047245,-1.138103621146967,-1.4764539051029315,-1.2193868775532712,0.6827467250335377,2.10134184742509,2.268512909089186,-2.4535628951887376,0.3313874320650186,-0.2642315045323545,0.29929738883405915,0.6293790654410348,-0.7028881084314782,0.19338441644747723,1.4510260557735628,-1.083172053583008,-0.48880884221344495,-0.5312610003511959,0.6400308613171035,0.6310816005539471,-1.0333866334237292,2.8169305476472006,-0.484273147153636,0.5161070814742362,-0.39153172197866726,-0.002352609221677309,0.47617604421580023,0.48487394698554165,0.39374747040568325,0.2548132569164594,-0.5354836530348425,0.45889971085901937,0.2648795030869236,-1.0963488135753894,-0.263298492791115,-0.5091083103130214,0.5609832892549539,-0.026977329016368828,-0.9924440291965733,0.7183231737898994,1.1296804159629958,-0.8221285127882711,-0.29290349041678376,-0.42061921121172063,0.5206203648448627
2021-05-27,3.554223384311896,-2.413206481023926,1.7450466361197512,1.4149967965838277,-2.4781732804140986,0.4518187497209469,0.26974658113049277,-1.3841809856104124,-0.20342538133444082,0.203682692673277,-0.3052890301219969,0.6207297496858206,-3.1583221656143468,-1.2405748285701974,-1.2189051660140262,-1.137197587749621,0.574336525561947,2.5415671409383385,2.03252587947083,-2.385233346713089,0.5378107986392034,-0.24921175268519066,0.4030438211929391,0.47582695998613306,-0.49358736920906476,0.20839456982546634,1.5020029966011426,-1.3100580381065314,-0.9407820186662578,-0.8199933998388393,0.790403124517061,0.7156010280450041,-1.1043365839080919,2.6522056781115864,-0.17596453144289428,0.18300504709339213,-0.37132039150367513,-0.06609938232037729,0.8075088405893495,0.1780765285409157,0.3616588224886073,0.4785706997212892,-0.5278563270282944,0.32875496337668814,0.15840101802054585,-1.3159310259454053,-0.32908621370915303,-0.7373905370325281,0.12260799177676379,0.11056631591369012,-0.6464598049612492,0.5268663215506698,0.9179890949707269,-0.9994917784291791,-0.4284643708747425,-0.3003227222556196,0.9771213958926093
