,Communication Services_PC1,Communication Services_PC2,Communication Services_PC3,Communication Services_PC4,Communication Services_PC5
BHARTIARTL.NS,0.6202459016474934,-0.47887532150897627,-0.5527151361501547,0.01681404595287009,-0.2850140057934427
IDEA.NS,0.4559034924683149,0.7479598540260178,-0.25649015699663935,-0.4076454611652367,-0.04221740287895999
TATACOMM.NS,0.7220270558928984,-0.07970517657999136,0.5645920394570194,-0.12741050268438622,-0.37197133975954716
NAUKRI.NS,0.7478521801529018,-0.3084989978648734,0.07847938302323353,-0.2161213051273986,0.5419541699233378
SUNTV.NS,0.6662296678698968,0.3666661810247181,-0.009887955616832408,0.6439802764615837,0.08900473377831589
