,Consumer Cyclical_PC1,Consumer Cyclical_PC2,Consumer Cyclical_PC3,Consumer Cyclical_PC4,Consumer Cyclical_PC5,Consumer Cyclical_PC6,Consumer Cyclical_PC7,Consumer Cyclical_PC8,Consumer Cyclical_PC9,Consumer Cyclical_PC10
2021-05-14,-0.19759858965711602,0.7531735251008344,0.36219321741671284,-0.14766468566051988,-0.7363546238560761,0.17041503637590694,0.3349578445136397,-1.3708238263815404,-0.011332333022276085,0.21257404519857956
2021-05-17,-0.38961548031427495,-0.02417979634586845,0.39559800854798005,-0.3295400436709779,-0.9305777753570389,0.6625907863037976,-0.10019262405790284,-1.1452404320664142,0.0375482911783535,-0.3861222105157845
2021-05-18,1.166338131159076,0.5794680851188871,0.5694963829081059,-0.27847308671668247,-0.6039356752521752,0.6301356732528135,0.1723043156796346,-1.7232933940867459,0.17403470389818626,-0.034752631471638165
2021-05-19,0.8726687401829453,0.31945941272220824,0.6149911662011281,-0.29411588685825524,-0.5688332348585221,0.5237726175526586,0.20592517949571423,-1.61664564977997,0.2416931341030165,-0.23930239682118212
2021-05-20,1.6536367608243445,0.36029885058341304,0.6114340273846618,-0.4956495275778113,-0.8152565139041988,0.3269081985464538,0.1546513722542777,-1.278794020988885,0.45256963413616913,-0.5140348682968343
2021-05-21,1.5478620284603173,0.1797716710008618,0.5987961591054722,-0.46100418566046303,-0.7056258767483606,0.40159895405879875,0.21698108625032933,-0.9304617149320525,0.3056140849620073,-0.9145325304131185
2021-05-24,1.7760905548968644,-0.11167200491219588,0.5664196465274781,-0.5684166767876723,-0.7504659004147353,0.19336145735190183,-0.09857928568967265,-0.565747498496856,0.09415584566096975,-1.450714606679186
2021-05-25,2.564278780928374,-0.20886276697838194,0.7051304776123818,-0.8069515590156567,-0.5658060842933346,0.3848792648882522,-0.32179859263439586,-0.44047211809703973,0.12967589556053438,-1.4328698781079738
2021-05-26,2.194083730387349,0.3025083764255374,0.6320696437282923,-0.8355748818469118,-0.42164854664381307,0.22916601936732028,-0.2369944706907539,-0.829580771386639,0.0659318301125506,-0.5918789744707755
2021-05-27,1.7568285543613313,0.6010061914948439,0.653347957457588,-0.9544359295678992,-0.7078317053960618,-0.07935222254099998,-0.26352951862736335,-0.8555249259445997,0.30491931740561456,-0.6739226784936145
2021-05-28,0.6336727933071333,0.16059886847061533,0.47722037156563996,-0.9597337614104448,-0.005603956152959568,-1.592456736074246,0.3825134161705496,-1.0371391268946921,1.0500541561028132,0.0925471643580642
