,Industrials_PC1,Industrials_PC2,Industrials_PC3,Industrials_PC4,Industrials_PC5,Industrials_PC6,Industrials_PC7,Industrials_PC8,Industrials_PC9,Industrials_PC10,Industrials_PC11,Industrials_PC12
2021-05-14,1.0064541817495656,-0.9915905986179695,-1.255104019881134,-0.6229951547172374,-0.470246770557792,-0.2548140474887622,0.21960605407151104,-0.2708747442540617,-1.0871128886494856,0.7611856504110281,0.012146310797296202,-1.166512100680774
2021-05-17,0.8978057216956625,-0.6869299240390331,-1.3377307307788482,-0.3199107283898182,-0.3483612748137754,-0.20928945447208547,0.1639119680889217,-1.2752895224670133,-1.0258415486297545,1.1811244839476902,-0.16756091913806612,-1.612452219463396
2021-05-18,1.8036532340274953,-0.5489669125608466,-0.7332049201503014,-0.4111092236773158,-0.6424949857280584,-0.7428603605732674,-0.21545786391189292,-0.8569692725155911,-1.2340236470457884,0.8814884222044428,-0.2673262754842969,-0.9407050099703174
2021-05-19,1.418074880177677,-0.5141473553107389,-0.9718105900217934,-0.6613794230063503,-0.8225700646376174,-1.0288054811241625,-0.5599794513001964,-0.4015179815306609,-1.1453439603322206,0.673018650348307,-0.12679587894520017,-1.0944540103737674
2021-05-20,2.3197125428453034,-0.8530244014249441,-1.0068896992206493,-0.43987772104249073,-1.0839493183111926,-1.087825392816131,-0.4060789046282476,0.000431526005357388,-0.7914870734995697,0.1981227443601626,-0.01971527420839774,-1.0562991077329886
2021-05-21,2.006446293257502,-0.911624306413423,-0.9359004016963312,-0.47812796007106656,-1.5374386059555747,-0.6914986116381117,0.10150347535226316,-0.12427568414953741,-0.5864104600941314,0.14025640142706725,0.20458220226544696,-1.1305624973446506
2021-05-24,2.142694667391307,-0.8682243825093598,-0.8658661981711065,-0.6536761574051876,-1.5344941361410527,-0.18901779288292525,-0.1964320780617859,-0.3189512359939262,-0.9207406525080918,0.4469140228305437,0.05444631383526074,-0.40055403093266473
2021-05-25,2.14682652683918,-1.027659608217726,-0.7852028138982371,-0.5959799484357456,-1.9969275343872985,0.06785601863105949,-0.31877767360507064,-0.33395949514956536,-0.9659124962152522,0.4343132510816149,-0.24026112633739966,0.14513534394803282
2021-05-26,1.8360094486940228,-1.3851818776104414,-0.5366048175270816,-0.49320877822285114,-1.9124723489715032,0.06905635760113935,0.12286085298118209,-0.6140135364844778,-0.6700600018914855,0.5972270584313958,-0.15707349830167894,0.24809893025142257
2021-05-27,1.269865290716867,-1.6696755427969823,-0.3191662891732959,-0.4238416306116964,-1.871031085447031,-0.0021025387688286875,0.0634258189292025,-1.1274085771388425,-0.7201270947990688,0.7362852239585029,-0.2545296611581493,0.2866370202224048
2021-05-28,1.2305745679955622,-1.2383259106947009,-0.3639647074651429,-0.4032170644352382,-1.660901086798004,0.20451020237920978,0.25390670511917873,-1.023123885942634,-0.5125233662204751,0.6623799418492088,-0.38652988517825826,0.3034717642868179
2021-05-31,1.4963362398248325,-1.026589513150292,0.1058612288685332,-0.4246805622740565,-1.7465240111725469,0.2084506736755548,0.524090804810852,-0.8845178087361255,-0.5273750325823293,0.7787977057820095,-0.23238160470330288,0.5175656372167495
2021-06-01,1.6600182350404675,-0.8759514641820639,0.12555970297330896,-0.32765808669809854,-1.4634236318991523,0.3347076526503601,0.48806139010098754,-0.9203380898600433,-0.02738337304934833,0.8450159670837788,-0.25211332039247975,0.18048925300789886
2021-06-02,1.7154622247250728,-0.7291933043579505,0.3300659983703182,-0.2402677657084797,-1.5107645793370883,-0.062611251221669,0.5974597691389877,-0.9604112698967924,-0.13894130687298806,0.9400156217775132,-0.030648620617812757,0.5087469756613252
2021-06-03,2.158207994773226,-0.5355735558820031,0.8312491873520496,-0.44762212398342166,-1.3213468164836508,0.24355517992819714,0.35210519416575237,-0.7831569563008736,0.0016302245805597582,1.2070779012235464,0.08894729542265625,0.7226297855367718
2021-06-04,2.3040934408391243,-0.6799063387350682,0.6705765997061346,-0.46725993188635306,-1.4557314075976675,0.28757709773764345,0.35587043600995644,-0.8970846210428677,0.11993478182069951,1.010203026528111,-0.1959412787358441,0.97189346817596
2021-06-07,2.7317523337960585,-0.8099182335940882,0.3218313502652211,-0.9078741228017657,-1.5877595121596109,0.2605393269617859,0.6361947211885013,-0.8457685054147316,-0.06687964015298578,0.8523875056856609,0.028482446627175254,0.7917919774989088
2021-06-08,2.6394330271911994,-0.8169347758987319,0.3002519131102235,-0.9544241367984547,-1.6720414661755258,-0.32631691843664784,0.8421055909982849,-0.9307819693562727,-0.3750703164274551,1.1537002885025802,0.09022744912360565,0.7283129190412199
2021-06-09,1.379084489822251,-0.2557979972394499,0.14942579845479034,-0.517589142024668,-1.0499770705771683,-0.24032433130637623,0.8684908438578972,-1.1792355394676337,-0.5265288325722367,1.1194868649586482,-0.3019794430905072,0.9683869619327576
2021-06-10,0.8708905535631428,-0.5357690632410895,0.16579398410309407,-0.4054891834172896,-0.9038178873265206,-0.1543754571894923,0.9828186166792593,-0.8023574894185472,-0.23478845391859457,0.8240565622896378,-0.20881872060646983,0.7592934468965177
2021-06-11,1.3293367359069381,-0.7442787511240452,0.5286948100938604,-0.35491788859503987,-1.23399376381328,-0.2554906780101129,0.7333053259394432,-0.7219520642038306,-0.2936108694024442,0.3995213847298353,0.058292949151400014,0.6573380811176759
2021-06-14,1.1046720933227607,-0.5940215996613787,0.7672833468122695,-0.2157212098137556,-1.0240255302371082,-0.31654582883351173,0.7583544164076719,-0.6206842054830055,-0.5546228284055382,0.5042731405120634,0.3666140591217524,1.1206222536479953
2021-06-15,0.7288491402427838,-0.6313890488411391,0.6837276679468484,-0.5535494661595011,-1.1202266669655163,-0.1899561120242156,1.0468587232499351,-0.024982399448426087,-0.785197744894723,0.4122013412914759,0.19734442250486478,1.4348221428784245
