,Basic Materials_PC1,Basic Materials_PC2,Basic Materials_PC3,Basic Materials_PC4,Basic Materials_PC5,Basic Materials_PC6,Basic Materials_PC7,Basic Materials_PC8,Basic Materials_PC9,Basic Materials_PC10,Basic Materials_PC11,Basic Materials_PC12
2021-05-14,0.5751934846200885,-2.904459685017987,-3.1018377700317186,-0.3947288685375919,-0.3816473988941414,-0.16875657423144047,1.3116782420499276,-0.42121503717868036,-0.8869935984493688,-0.633928995650198,-1.0792128424418177,-0.30866660491786807
2021-05-17,0.5907430766911381,-2.4413402885821682,-2.7156010732606273,-0.33686431733605443,0.043954762545952986,-0.47160053294000476,1.0824050394877203,-0.44230194016408164,-0.7295536655741618,-0.6976046731137555,-1.0665127947187596,-0.3804497094954699
2021-05-18,1.4569528784988812,-1.5532441856065804,-2.301816457955011,-0.9287935352449207,0.324556795175152,-0.7405608360269057,0.8975579561061031,-0.48524618746162035,-0.6299420149843719,-1.169675250897772,-0.3790291508558507,-0.6280473801310206
2021-05-19,0.7948366530284865,-1.7522501874974898,-2.043775642016598,-0.7689456614289181,0.25635645989929373,-0.8574464371288156,0.8947657122802379,-0.2833709986068321,-0.8150297240526859,-1.2471342497594873,-0.2742139178683641,-1.0248267882174336
2021-05-20,0.9196218242568213,-1.0105433381686046,-1.2900720218759303,-0.9126101586242209,0.47768117774075586,-1.1482121425438456,1.0983028615986417,-0.3464146138818694,-0.6679500177364606,-1.444347765412571,-0.29094362230779724,-0.9163947558800142
2021-05-21,1.2168081889016669,-0.1864487983634351,-1.6376577732950537,-1.5852205994185562,0.11491049510025114,-0.726856803061729,1.110226719991958,-0.3968558874871267,-0.6342007567434897,-1.6435935633108796,-0.33657123666600697,-0.6841580312816684
2021-05-24,0.5575300388848505,0.20224935991094395,-1.975696765571465,-1.2309364492382422,0.22740043233710736,-0.349116400142165,1.4475261932627665,-0.6536661164702018,-0.25927950283935586,-1.1034576384676127,-0.9790686306179565,-0.4124870589871029
2021-05-25,0.9080775544650493,-0.03316297937119616,-2.0149794141334487,-1.294081998637133,0.10157797088055542,-0.2949357325228312,1.3411837926625394,-0.3071505832852567,-0.15819589005700574,-1.142782614089088,-0.7885576670860063,-0.28526158409003205
2021-05-26,-0.38008324778000013,0.132957752427175,-1.8923814492210458,-1.2501627322378448,-0.008695636428080002,-0.0677125197945138,1.327947438225826,-0.16244851891426013,0.10355198793572293,-1.0184423743365136,-0.6055784382138508,-0.4893350172409042
2021-05-27,-0.6857538417357799,0.5624728163884765,-1.877339440842941,-0.9727297847581367,-0.02613970361300695,-0.3846709771904587,1.3402333067233383,-0.23937192409115846,-0.0744255760943647,-0.7209712596209682,-0.8256214920502388,-0.3079565248105886
2021-05-28,-0.6554602024269727,0.1492477377571597,-1.8017838577469374,-1.0390083176782041,-0.07631419593766012,-0.21243288385042614,1.1971010005189062,0.2441153899992976,0.06854215431419186,-0.817377923152141,-0.5567989757519239,-0.47573113106663045
