,Healthcare_PC1,Healthcare_PC2,Healthcare_PC3,Healthcare_PC4,Healthcare_PC5,Healthcare_PC6,Healthcare_PC7,Healthcare_PC8,Healthcare_PC9,Healthcare_PC10,Healthcare_PC11
2021-05-14,1.5963766061152231,-0.238045662987499,-0.893410862618536,0.290312616989509,-0.7532247503679619,-0.3802572571422115,-0.28615027130190684,1.1587668794712669,-0.367171561773022,0.6613258962806828,-0.6985416779687685
2021-05-17,1.862582629054009,-0.47123825499886574,-0.8116092820953962,0.6187184861059942,-1.0239908201148133,-0.28865199430604765,0.01928911431029889,1.016415262990425,-0.143229581291062,0.004673759492707341,-0.8601812551995244
2021-05-18,1.302024957075792,-0.5654535713976636,-0.6632186578380304,0.4303354286888889,-1.0916900507767213,0.052560355948050426,0.17655409290077032,1.157799431007877,-0.08878378317782315,0.26765021283660584,-0.6357053128995813
2021-05-19,0.9190181261669589,-0.8042004606884726,-0.44434323090236366,0.4260400540722259,-0.9239586992612043,0.06181428771658376,0.14226478373336404,1.2962426932668432,-0.13316417055959726,0.033873109832746565,-0.746462407166635
2021-05-20,0.691743596886447,-0.6683816920590417,-0.32607017281827705,0.15791087893007166,-0.7752176137688404,-0.06597009944326655,0.19402456107965607,1.3022951882280152,-0.06189635278033936,-0.35657137311023507,-0.5531266536731233
2021-05-21,0.3900266968339543,-0.574540762238293,-0.1118903842990304,-0.21221981270461376,-0.8155617782339672,-0.11592270720467975,-0.09615835596490264,1.4058263265647541,-0.018200452177268924,-0.33076823039889097,-0.5593425502083849
2021-05-24,0.7370245649783589,-0.8056729507030672,-0.06922567104606404,-0.39966105181573097,-0.7798990220135207,-0.0405969679920723,-0.17576540480396757,1.3873527681623319,0.0028850339434646605,-0.2153969864267247,-0.5460548993929888
2021-05-25,0.9992785735936434,-0.8950029679817854,-0.35913875018175456,-0.23833457493231663,-0.6062172451654704,-0.14533745264339187,-0.12230118783797857,1.2865648625335215,0.24544986096697105,-0.29272331719522376,-0.5714005184666363
2021-05-26,1.5576262095410285,-0.9318817454829871,-0.38107526109756773,-0.40234643561750255,-0.3880717480771319,-0.3493740877173841,-0.22672787028727354,1.0339064575195873,0.008688329855693238,-0.313746294946005,-0.26914148723413633
2021-05-27,1.1260271485619167,-0.8936703471445782,-0.6606783827035796,-0.21014452927680272,-0.2407941971861572,-0.36089509947906706,-0.02939908583816877,1.154600688774776,-0.0656841610452553,-0.22719717159482164,-0.2103394245404531
2021-05-28,0.7872047132969306,-0.11991374007757236,-0.7993887607416613,0.03233145264641727,-0.1814000930155768,-0.6471126309374453,0.01499300710610622,1.379803770221228,-0.010050966844475132,-0.7569139600788228,-0.29271059101959096
2021-05-31,0.842614427992736,-0.2469093047694066,-0.6634873751758203,-0.20566533011911795,0.20876683736744714,-0.6775477576657882,-0.002769762561104235,1.3418291787800705,0.18511764081095536,-1.0101728599720705,-0.43422134477470814
2021-06-01,0.5882091581064062,-0.047827911238711295,-0.20466404711327316,0.2255957854920644,0.7296280472445376,-0.4868126196055111,0.04115874301605878,1.347628324745571,0.31386542512249344,-0.9042946756660332,-0.49597069596636206
2021-06-02,0.5711158105630709,-0.08529197413245897,-0.8821752727624452,0.2118537211173272,0.6764004692502151,-0.4929095523834835,-0.3918387506613433,1.3197590092583629,0.13234574026355622,-0.6084722063960816,-0.4407850462058228
2021-06-03,1.3461221688827998,-0.12681073978080082,-0.6708468104819646,0.5366104197356079,0.6083808793718709,-0.6041592008834759,-0.6628128073323118,0.8409470277103004,-0.058212756894278586,-0.5591682823505488,-0.4162187793933003
2021-06-04,-0.45588506752597946,0.2739120799320432,-0.3549411264709842,0.1606955650141907,0.6911446083449213,-0.823767734895336,-0.2906058700897582,0.17317025742013914,0.5553685039304275,-0.6553818344625799,-0.6205461165739239
2021-06-07,-0.14072486774464216,0.4812221872713481,-0.1283083005306347,0.0035641868178151047,0.8681301964272078,-0.7316583723893683,-0.0014927216238066528,0.502129551601542,0.5098328794809741,-0.74520504611839,-0.5498357223652152
2021-06-08,-0.017870413608289528,0.509981334800731,-0.43530015563899904,-0.4434664096576101,1.1383455328024967,-0.565760994682333,-0.1527302030875702,0.3393754321413734,0.7219977988063818,-0.46016339302113546,-0.39503105743867567
2021-06-09,-1.3936336296105192,0.6797475170192677,-0.03536109624885708,-0.6434308766586393,1.2907085160748684,-0.31768407950599814,-0.2188386841099355,0.02235383119584791,0.44765578338298406,-0.5403577072404255,-0.4272379201486649
2021-06-10,-0.6587698930708638,1.0787459764983278,-0.14169560018329316,-0.289657497038944,1.4931110530595453,-0.797721176503407,-0.329545489255468,0.04061752761155996,0.6131524423375897,-0.7791606952457255,-0.5021155326539771
2021-06-11,-0.12547913246175446,1.183911134484343,-0.3504122296621153,-0.07951885140636043,1.118465957905647,-0.571869443336715,-0.021446950249541127,-0.11782435633937459,0.6312703377949144,-0.38611680788300623,-0.23592486495093026
2021-06-14,0.5597331700234901,0.943245825885275,0.1342325430737724,0.016255063526290157,1.0426753387196797,-0.6918605510992549,0.29916920090588034,-0.11706227308949134,0.8416964640525605,-0.4410406957780566,-0.4333944769976286
2021-06-15,0.14051746923372999,1.1629319408048973,-0.14622446241161854,-0.1724273042042217,1.3159962429337364,-0.7742959261721684,0.09906283657047067,-0.32786563110776495,0.5542096591466766,-0.32170188821084883,-0.29385393985580016
2021-06-16,0.021717173081132312,1.1183415657986093,0.06007566359465291,0.02464709464719121,1.0731829092127754,-0.7624056078317569,0.3061784948720692,-0.27104062006066987,0.6047211647793744,-0.5797644126879634,-0.4001827749182191
2021-06-17,-0.8196328215357267,1.2027345521046904,0.1371016505937223,0.08987301943591791,1.0117962661756303,-0.9670492004169381,0.3505390814218122,0.05163256967261543,0.9813391038493404,-0.6766603929527251,-0.5617626979051977
2021-06-18,-0.9930779807342262,1.1859417189102561,-0.03800284942061634,0.2731067506817502,1.2134057441789905,-0.7531004023010716,0.034603705889597006,0.19267026165997914,0.9803914180679851,-0.30537532589287586,-0.7356789655850794
2021-06-21,-0.9424488329336244,1.3245196650546343,-0.2011812925351528,0.27817884411664356,1.2290296418721882,-0.6524250542325309,0.04385399554132923,0.21178727712400391,1.169729423489741,-0.20161937785907902,-0.5329663381368067
