,Technology_PC1,Technology_PC2,Technology_PC3,Technology_PC4,Technology_PC5,Technology_PC6,Technology_PC7,Technology_PC8
2021-05-14,-2.912332049660777,0.09553465808092512,-2.0701830714693354,-1.5618442252600369,-0.5749764299323491,1.5910113339300938,-0.1908654752369317,0.11467840160384829
2021-05-17,-1.397016546081421,-0.26462148663403645,-1.9809429488723473,-1.6853382405355646,-0.627184542774636,1.462712511265728,-0.09427329887158588,0.03151290752673311
2021-05-18,-1.3758810761912708,0.057254443674745914,-1.8448012201903614,-1.0173910371617174,-0.7846164985740437,1.362980710377759,-0.060817238610959855,-0.16257062854459428
2021-05-19,-1.8553456680235598,0.1543923243239466,-1.5121935293060214,-0.7421170147798907,-0.38504909907653867,1.1059950856665222,0.7451678442815549,-0.05885074785383253
2021-05-20,-1.7965600878567358,0.10459236643528155,-1.5127389939358997,-0.8628374514688119,-0.31125000696941446,0.894560898573735,0.5585346236763268,-0.32174308986388067
2021-05-21,-1.002258135524363,-0.224609226806268,-1.4921738401446047,-0.7447223810331415,-0.2053186774512472,0.930682823835911,0.44425411154284683,-0.39039013397597866
2021-05-24,-0.6292145501338648,-0.15046779094694746,-1.5780238314363455,-0.7028946329427397,0.14935892634507256,0.7378198056997997,0.5144779863728636,-0.6318135326600626
2021-05-25,0.006878807051763584,-0.3300247522389381,-1.429342651074424,-0.5670986762636734,-0.041421627599716966,0.8080658357051062,0.46724524391531147,-0.667928233948285
2021-05-26,0.5737627719448389,-0.4323957519162257,-1.3486335738221178,-0.7454258278391944,0.011874270425566965,0.46044180739030416,0.18411697383662723,-0.8171269365168179
2021-05-27,0.8243737126640328,-0.21137927961544,-1.3725795140681691,-0.5802143824444004,0.2560738302891905,0.6245349718807537,0.06380170324604072,-0.5703526384400869
2021-05-28,0.5102791847497737,-0.4221329847713271,-1.362298499766415,-0.32573952461637967,0.1408362876526509,0.4132582168029788,-0.06548466319302598,-0.5513095567189089
2021-05-31,0.5976271933953797,-0.5380760681389997,-1.3108478846064442,-0.31012573707270474,0.18058786156543494,0.3088206418909982,-0.05585141841577367,-0.4438383312562886
2021-06-01,0.7631547696072629,-0.6075936198843843,-0.8398555049267294,-0.47919343327924013,0.12802599736340214,0.25024857981513116,-0.3877264792311916,-0.6844302074584211
2021-06-02,0.25069856732629836,-0.5339279363827142,-0.702423010368726,-0.5060835622520663,-0.08601926207704216,0.34849129411472846,-0.6141509153652231,-0.6644783645363803
2021-06-03,0.5012650700901238,-0.4281379599094821,-0.676768576320175,-0.4743390582594014,0.21815110151465092,0.34844970444833273,-0.8805638945111508,-0.7947122810080928
2021-06-04,0.2680254974869559,-0.2849187196911578,-0.8129612660820051,-0.4199766227432694,0.2102218153227999,0.3409390462392508,-0.8914960218749761,-0.9503088333558647
2021-06-07,-0.21667001903907165,-0.13136108372818475,-0.17176680644776862,-0.10290924007279008,0.019235573574988323,0.09417916679546835,-0.16935379522829483,-0.24924044089761355
2021-06-08,0.28061406587057636,0.017255777235811155,-0.18824672951951196,0.1521796738498547,-0.10205122834110836,-0.3149282319894505,-0.21176066167876892,-0.397140056363329
2021-06-09,0.2516593793135536,-0.139253937874142,-0.34054827235416685,0.20124737961711625,0.2378847485325955,-0.6404385955047186,-0.3508074507019903,-0.643263293007123
2021-06-10,0.7539790445698433,0.18992450034032077,0.021434641104597,0.3759401221542699,0.080512818160029,-0.48381725083916444,-0.256336313141733,-0.32769508381374535
2021-06-11,1.6164794167987337,0.024063872761342493,0.17218963631046064,0.35562942853433344,0.32856603360211817,-0.2515142126343198,-0.27757294411089706,-0.30279086203424577
2021-06-14,1.735047401576193,-0.15988556733064807,0.4880446097251221,0.5787739351816698,0.32157044210216734,0.09971586531748729,-0.5023588084465166,-0.08987167714828095
