,Communication Services_PC1,Communication Services_PC2,Communication Services_PC3,Communication Services_PC4,Communication Services_PC5
2021-05-14,-0.2801471103307316,0.5769212518684016,-0.9005757453122629,1.8050981404869364,-1.045071432819052
2021-05-17,-0.5685832868373158,0.5510831139140239,-0.7080115230196209,1.6279508148193296,-0.43496070032366513
2021-05-18,-0.5412531142580752,0.5794499036552978,-0.522538807080495,1.5103065545495706,0.07143291661820082
2021-05-19,-0.8516072788190204,0.7432092366190635,-0.452426739164374,1.5326344189143328,-0.09677997245240831
2021-05-20,-0.5775646202756547,0.8742540231639846,-0.4745461947843642,1.6448697303788824,-0.2639650399572809
2021-05-21,-0.8766970370711279,0.9003417113904953,-0.7777284527865416,1.5772471027506227,-0.4749535890585198
2021-05-24,-0.8816894722093632,1.03594211919983,-0.7596862772322257,1.7068388151879297,-0.4350312511562229
2021-05-25,-0.9770183055309345,0.9842677302585249,-0.994410212302512,1.7527270216170365,-0.4982439457358399
2021-05-26,-0.7459566446042162,0.9778948966248973,-0.9004170160766641,1.7788793008566846,-0.13200616325098236
2021-05-27,-1.2462452399742632,0.8904937713950548,-0.7244368686845362,1.5229859986898562,-0.21056015133517644
2021-05-28,-1.4675471609587978,1.0013115421328616,-0.6878757544859551,1.2902235241012308,-0.3525561562706311
2021-05-31,-1.3863964947851473,0.7861352279660513,-0.6117404093403135,0.8780781236889517,-0.9596422202851852
2021-06-01,-1.3207020488930399,0.26099898335725213,-0.26408505063276727,0.019136496064287526,-1.0133113182287794
2021-06-02,-0.9276097678013971,0.750953370074781,0.12992361302518923,0.5038666469938394,-0.4870814422831442
2021-06-03,-0.4366235443980747,0.947490373931948,-0.09202637311887342,0.5870038090073006,-0.29624428113443313
2021-06-04,-0.57407047158971,0.9996711143312518,0.09006442771717808,0.2516925787881456,-0.4881637399639014
2021-06-07,0.07672907396700446,1.0212382420065236,0.3108204960027792,0.21589860758936164,-0.45929703635462465
2021-06-08,0.2443909803019232,0.9543943148577371,0.3961584852120468,0.15030416148509393,-0.40812363078942027
2021-06-09,0.03352765614617257,0.7783762791831627,0.6196575951295438,-0.23849016868478998,-0.2703629052901544
2021-06-10,0.5167555239395185,0.6762641954306405,0.6366520665526211,-0.5069462129757851,-0.16455756681982542
