,Energy_PC1,Energy_PC2,Energy_PC3,Energy_PC4,Energy_PC5,Energy_PC6,Energy_PC7,Energy_PC8
2021-05-14,3.170890874023308,0.48873270073072206,0.19316883254892067,-0.6250478711678165,0.5013756210757316,0.5219512609293531,-1.2576278048714964,0.25505533518458656
2021-05-17,2.809333400020004,0.5044682635455301,0.1288046941847796,-0.40286284018157104,0.7914624091203197,0.5618067888949407,-1.2419967729298422,0.2019868902373365
2021-05-18,3.108676717378846,0.2289316383189341,0.37376987018278934,-0.3545180771650959,1.2191120142397802,0.49334533279652787,-1.2613298584689738,0.14336932913621736
2021-05-19,3.119759974677963,0.13964602047192295,0.3074963944283337,-0.5582538887234724,0.9379465295093578,0.7560308261260607,-1.1126234127906773,-0.1058616640421706
2021-05-20,3.301466320382417,0.0923678510291946,0.27877361503690345,-0.4558398649523719,0.9487388125746876,0.6383506496657966,-1.0770133777772954,-0.1482712373830092
2021-05-21,3.472268930879883,-0.1354345042442693,0.2143204651475455,-0.16399830810706975,0.7607419619687044,0.6930805799021762,-1.131513110368432,-0.024292623586507696
2021-05-24,3.6664892469369295,-0.49588633601176013,0.05952883777861267,0.21820295186297475,0.5246896512508177,0.7049863523140082,-1.444850238061494,0.2232454419518675
2021-05-25,3.463928373316685,-0.6459485799608182,-0.44459561950835014,-0.14377884325111043,0.3843520307267003,0.22432154085893244,-1.4379860638163287,0.19205816591500688
2021-05-26,3.2359367273805035,-0.8571020505492785,-0.5737329837139032,-0.15485902556979558,0.44789724763594935,0.05700386993756345,-1.5290400594368883,0.16535810913998764
2021-05-27,2.871559388047801,-0.6827514498433361,-0.31400296338395217,-0.24019356607104672,0.5112806284489765,0.07728180896757636,-1.6367024799138556,0.14844618717067323
2021-05-28,3.0192551381346573,-0.7612890707900115,-0.23588732703244822,-0.08554006362821374,0.48927607401100986,0.27825617135428965,-1.0035355742705507,-0.003069762723857769
2021-05-31,2.8545623613609727,-0.7699317942387929,-0.1264028746260413,-0.16033309704731835,-0.21127401271965557,0.3444525809797841,-0.5004518195888569,-0.027472110889179845
2021-06-01,2.5917142948453713,-0.7306360757766991,-0.34930351849470126,0.08325753474496358,-0.07698214848816837,0.032055579932140116,-0.34479003464327534,-0.10936038289681974
2021-06-02,3.0771583148056023,-0.6521399744153588,-0.48394831336347094,0.08642903192697868,0.00796997124554155,0.025884172031401705,-0.2519922906535487,-0.3763760559900169
2021-06-03,3.2241046864927285,-0.27780512221676296,-0.31999615318122154,0.2298706861051763,-0.07731150750964853,-0.024120872370612667,0.0802859447020694,-0.3168864140393686
2021-06-04,3.503021320679209,-0.25322385698888533,-0.32946369239321194,0.7437645261128847,-0.42830061611657966,0.1981438627469999,-0.3858688162371298,-0.06091461260323803
2021-06-07,3.7935131826712607,0.20621764541055673,-0.008281818856493718,1.2863649041952105,-0.7059341934126604,0.34908535705110016,-0.5770770675419166,0.0016778916580256955
2021-06-08,3.4155259916561436,0.11977684650409169,-0.016919599868448758,1.1709352583890182,-0.5312346811657243,0.2886959352393544,-0.43300119869804515,0.0010117498697738872
2021-06-09,2.291804444876385,-0.19957697129146645,-0.5073384892361491,1.5467812618865295,-0.309993822795936,-0.04104842122095965,-0.4983743736723453,0.15223122261136052
2021-06-10,1.501435311886405,-0.06876891381156718,-0.2735402516041521,1.842161230540021,-0.27962144662275495,-0.20312339250293637,-0.26215826399748,0.05983712055391234
2021-06-11,1.8019301284009535,-0.17594404674247427,-0.6944142150314103,1.599101956369424,-0.5401337789913655,0.09413336546804024,0.031483746625838534,-0.03909425063368382
2021-06-14,2.311845398250569,-0.23709576375337804,-0.5019930800910186,1.3222232207419629,-0.614532429888228,0.15090679455072972,0.02988891899019139,0.044237972913246534
2021-06-15,2.3292808668845915,-0.16839508978264078,-0.5320274189470363,1.2154736672686113,-0.3652825385998807,-0.16794655255750698,-0.19316239751544198,-0.09357665727415554
2021-06-16,1.6605085329675813,-0.10520393106420287,-0.419473798085974,1.3336635478058583,-0.9313657214562988,0.06072609442430609,-0.22643763509270323,0.11890625014730614
2021-06-17,1.2386328212345576,-0.12811407642110462,-0.359740645076564,1.4860950748603303,-0.7544273365036027,-0.3274117864459623,-0.1462078123770785,0.1571593033495327
2021-06-18,1.2295836409670116,0.2558934943182065,-0.3213376356047396,1.469511950383843,-0.6953591218685664,-0.41481984620809115,-0.08327327966591369,-0.04175098455692874
2021-06-21,1.187797917511138,0.37822260947538405,-0.379017516029929,1.2325992454526655,-0.7287390099163511,-0.48331752132581507,-0.029638332237173937,-0.1709573106353725
2021-06-22,0.9315785737343848,0.7347771947202923,-0.6694974473721651,0.8646777184879976,-0.4146889639749814,-0.6160040398643343,0.08160453435450281,-0.307436516093405
2021-06-23,0.7558856710002756,0.9227215102418356,-0.5147229730090308,0.9328070917244061,-0.3898787011095163,-0.36722825838140793,0.2282873974523283,-0.22248647523153886
2021-06-24,0.4895222803593067,1.0319985276406851,-0.6506026094854966,0.6489214530991735,-0.5515641582491951,-0.4937088343916057,0.0006327210634188837,-0.320570190417765
2021-06-25,0.6011584967077079,0.7207822855212738,-0.8793134691944892,0.3849887291403365,-0.7143723465115795,-0.44570489328961216,-0.2952156701768922,-0.2889006041534924
2021-06-28,0.4028700546579451,0.8932094015662364,-0.8337720276484929,0.17764571725205192,-0.604165614434741,-0.8294785764287764,-1.0662938298809466,-0.12008176200365141
2021-06-29,-0.14662000122824764,0.6299177504365268,-0.6207751266341441,0.33147532881800384,-0.37190741042361414,-0.7101181193760315,-1.2464890420808616,0.007238557874477555
