,Real Estate_PC1,Real Estate_PC2,Real Estate_PC3,Real Estate_PC4,Real Estate_PC5,Real Estate_PC6
DLF.NS,0.823024121392109,0.06310649828033005,-0.26269136737542387,-0.046252253911713496,0.36344484892524886,-0.25262170262301414
GODREJPROP.NS,0.8623073247203059,0.046036788622653264,-0.12576519132448674,0.016617518696979576,0.27930509814438553,0.20600751392811284
PRESTIGE.NS,0.8282830094083119,-0.26671518738183303,-0.12828379867791953,0.09365641130370621,-0.12777939148184814,0.3852767851086758
OBEROIRLTY.NS,0.7336404709365398,-0.5149534280444857,0.025151004229594206,-0.3263399355835635,-0.18875463996691824,-0.20694465895685113
SOBHA.NS,0.7906200366905582,0.0536736775389715,0.013628191757988007,0.52341013824724,-0.22018028338176235,-0.21363717727725823
SUNTECK.NS,0.664171922009692,0.09274012616210815,0.7274406372398672,-0.04172317573899918,0.12138292193142318,0.026724809416844214
PHOENIXLTD.NS,0.6995749772150427,0.5761204210619941,-0.1164525555651563,-0.28664218281747333,-0.2890259928771718,0.02020182829599112
