ticker,company_name,market,sector,industry,market_cap,avg_volume,beta
BAJAJFINSV.NS,BAJAJ FINSERV LTD.,NIFTY100,Financial Services,Financial Conglomerates,2957514899456.0,3663066.2197092082,0.796
HDFCLIFE.NS,HDFC LIFE INS CO LTD,NIFTY100,Financial Services,Insurance - Life,1433523978240.0,3960254.839256866,0.741
SBILIFE.NS,SBI LIFE INSURANCE CO LTD,NIFTY100,Financial Services,Insurance - Life,1463926259712.0,1469847.9030694668,0.496
ICICIPRULI.NS,ICICI PRU LIFE INS CO LTD,NIFTY100,Financial Services,Insurance - Life,776062107648.0,1954757.1793214863,0.671
CHOLAFIN.NS,CHOLAMANDALAM IN & FIN CO,NIFTY100,Financial Services,Credit Services,1165628276736.0,3510732.9054927304,0.742
MUTHOOTFIN.NS,MUTHOOT FINANCE LIMITED,NIFTY100,Financial Services,Credit Services,905173598208.0,1095676.744749596,0.864
MANAPPURAM.NS,MANAPPURAM FINANCE LTD,NIFTY100,Financial Services,Credit Services,190955749376.0,8673348.10904685,0.93
LICHSGFIN.NS,LIC HOUSING FINANCE LTD,NIFTY100,Financial Services,Mortgage Finance,299096735744.0,3448618.9386106622,0.523
PEL.NS,PIRAMAL ENTERPRISES LTD,NIFTY100,Financial Services,Financial Conglomerates,214485319680.0,1811498.3990306947,0.8
M&MFIN.NS,M&M FIN. SERVICES LTD,NIFTY100,Financial Services,Credit Services,312041537536.0,6792992.833602585,0.482
IDFCFIRSTB.NS,IDFC FIRST BANK LIMITED,NIFTY100,Financial Services,Banks - Regional,413626007552.0,36627397.62681745,0.607
BANDHANBNK.NS,BANDHAN BANK LIMITED,NIFTY100,Financial Services,Banks - Regional,233755262976.0,10854771.411954766,0.805
FEDERALBNK.NS,FEDERAL BANK LTD,NIFTY100,Financial Services,Banks - Regional,468373700608.0,18628961.113085624,0.47
RECLTD.NS,REC LIMITED,NIFTY100,Financial Services,Credit Services,1012454785024.0,10444560.409531502,0.462
PFC.NS,POWER FIN CORP LTD.,NIFTY100,Financial Services,Credit Services,1304344526848.0,10765870.518578352,0.678
PNB.NS,PUNJAB NATIONAL BANK,NIFTY100,Financial Services,Banks - Regional,1090906030080.0,63373098.92568659,0.566
CANBK.NS,CANARA BANK,NIFTY100,Financial Services,Banks - Regional,790228697088.0,59529622.46607431,0.567
TCS.NS,TATA CONSULTANCY SERV LT,NIFTY100,Technology,Information Technology Services,11845808160768.0,2626963.010500808,0.451
INFY.NS,INFOSYS LIMITED,NIFTY100,Technology,Information Technology Services,5786847150080.0,7373043.407915994,0.573
HCLTECH.NS,HCL TECHNOLOGIES LTD,NIFTY100,Technology,Information Technology Services,3724181766144.0,4180461.560581583,0.486
WIPRO.NS,WIPRO LTD,NIFTY100,Technology,Information Technology Services,2540806864896.0,17215333.35056543,0.658
TECHM.NS,TECH MAHINDRA LIMITED,NIFTY100,Technology,Information Technology Services,1140086145024.0,3133552.9571890146,0.401
LTIM.NS,LTIMINDTREE LIMITED,NIFTY100,Technology,Information Technology Services,1201869815808.0,404627.1785137318,0.588
MPHASIS.NS,MPHASIS LIMITED,NIFTY100,Technology,Information Technology Services,399060631552.0,615329.5775444265,0.578
PERSISTENT.NS,PERSISTENT SYSTEMS LTD,NIFTY100,Technology,Information Technology Services,705021870080.0,589814.7504038772,0.536
COFORGE.NS,COFORGE LIMITED,NIFTY100,Technology,Information Technology Services,424562491392.0,524041.2617124394,0.378
ZENSARTECH.NS,ZENSAR TECHNOLOGIES  LTD,NIFTY100,Technology,Information Technology Services,147859308544.0,1240587.0,0.654
NIACL.NS,THE NEW INDIA ASSU CO LTD,NIFTY100,Financial Services,Insurance - Diversified,247429316608.0,1494265.9256865913,0.984
CYIENT.NS,CYIENT LIMITED,NIFTY100,Industrials,Conglomerates,123449720832.0,511650.24878836836,0.879
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,NIFTY100,Communication Services,Telecom Services,10106677755904.0,10501897.102584815,0.194
IDEA.NS,VODAFONE IDEA LIMITED,NIFTY100,Communication Services,Telecom Services,525452509184.0,289003976.7552504,0.35
TATACOMM.NS,TATA COMMUNICATIONS LTD,NIFTY100,Communication Services,Telecom Services,441803374592.0,572175.2350565428,1.316
NAUKRI.NS,INFO EDGE (I) LTD,NIFTY100,Communication Services,Internet Content & Information,824752472064.0,425321.59935379645,0.854
IRCTC.NS,INDIAN RAIL TOUR CORP LTD,NIFTY100,Industrials,Railroads,557920026624.0,5361832.123586429,0.248
SUNTV.NS,SUN TV NETWORK LIMITED,NIFTY100,Communication Services,Broadcasting,248824578048.0,1505128.1825525041,0.319
NTPC.NS,NTPC LTD,NIFTY100,Utilities,Utilities - Regulated Electric,3392377716736.0,17680277.33764136,0.278
